	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
305	{76802: 7}	{113255: 7}														
306	{76802: 7}	{113255: 7}														
307	{76802: 7}	{113255: 7}														
308	{76802: 7}	{113255: 7}														
309	{76802: 7}	{113255: 7}														
310	{76802: 7}	{113255: 7}														
311	{76802: 7}	{113255: 7}														
312	{76802: 7}	{113255: 7}														
313	{76802: 7}	{113255: 7}														
314	{76802: 7}	{113255: 7}														
315	{55826: 7}	{70996: 7}														
316	{55826: 7}	{70996: 7}														
317	{55826: 7}	{70996: 7}														
318	{55826: 7}	{70996: 7}														
319	{55826: 7}	{70996: 7}														
320	{55826: 7}	{70996: 7}														
321	{55826: 7}	{70996: 7}														
322	{55826: 7}	{70996: 7}														
323	{55826: 7}	{70996: 7}														
324	{55826: 7}	{70996: 7}														
325	{19075: 21}	{74864: 21}	{78678: 21}													
326	{55826: 7}	{70996: 7}														
327	{55826: 7}	{70996: 7}														
328	{76802: 7}	{113255: 7}														
329	{76802: 7}	{113255: 7}														
330	{55826: 7}	{70996: 7}														
331	{76802: 7}	{113255: 7}														
332	{76802: 7}	{113255: 7}														
333	{55826: 7}	{70996: 7}														
334	{55826: 7}	{70996: 7}														
335	{55826: 7}	{70996: 7}														
336	{55826: 7}	{70996: 7}														
337	{55826: 7}	{70996: 7}														
338	{55826: 7}	{70996: 7}														
339	{55826: 7}	{70996: 7}														
340	{76802: 28}															
341	{76802: 28}	{113255: 28}														
342	{76802: 28}	{113255: 28}														
343	{76802: 28}	{113255: 28}														
344	{70996: 7}	{113255: 14}														
345	{55826: 28}	{70996: 28}														
346	{7364: 28}															
347	{76802: 7}	{113255: 7}														
348	{76802: 7}	{113255: 7}														
349	{76802: 7}	{113255: 7}														
350	{76802: 7}	{113255: 7}														
351	{76802: 7}	{113255: 7}														
352	{76802: 7}	{113255: 7}														
353	{76802: 7}	{113255: 7}														
354	{76802: 7}	{113255: 7}														
355	{76802: 7}	{113255: 7}														
356	{76802: 7}	{113255: 7}														
357	{55826: 7}	{70996: 7}														
358	{55826: 7}	{70996: 7}														
359	{55826: 7}	{70996: 7}														
360	{55826: 7}	{70996: 7}														
361	{55826: 7}	{70996: 7}														
362	{55826: 7}	{70996: 7}														
363	{55826: 7}	{70996: 7}														
364	{55826: 7}	{70996: 7}														
365	{55826: 7}	{70996: 7}														
